subjects,environment,strengths,motivation,education,personality,career
Technology,Remote/Home,Analytical Thinking,Solving hard problems,Bachelor's Degree,Independent Worker,Data Scientist
Technology,Office/Corporate,Problem Solving,Making money,Bachelor's Degree,Team Player,Software Engineer
Arts & Design,Creative Studio,Creativity,Creative expression,Bachelor's Degree,Independent Worker,Graphic Designer
Healthcare,Hospital/Lab,Empathy,Helping others,Master's or higher,Team Player,Doctor
Business & Finance,Office/Corporate,Leadership,Making money,Bachelor's Degree,Leader,Business Analyst
Education,Office/Corporate,Communication,Making an impact,Master's or higher,Team Player,Teacher
Engineering,Outdoors/Field,Problem Solving,Building things,Bachelor's Degree,Independent Worker,Civil Engineer
Science & Research,Lab,Analytical Thinking,Learning constantly,Master's or higher,Detail-Oriented,Research Scientist
Technology,Remote/Home,Analytical Thinking,Learning constantly,Master's or higher,Independent Worker,AI Engineer
Technology,Office/Corporate,Problem Solving,Building things,Bachelor's Degree,Team Player,Web Developer
Business & Finance,Office/Corporate,Leadership,Making money,Master's or higher,Leader,Project Manager
Healthcare,Hospital/Lab,Empathy,Helping others,Bachelor's Degree,Team Player,Nurse
Arts & Design,Creative Studio,Creativity,Creative expression,Diploma,Independent Worker,Animator
Engineering,Outdoors/Field,Problem Solving,Building things,Bachelor's Degree,Independent Worker,Mechanical Engineer
Science & Research,Lab,Analytical Thinking,Solving hard problems,Master's or higher,Detail-Oriented,Chemist
Education,Office/Corporate,Communication,Making an impact,Bachelor's Degree,Team Player,Trainer
Social Work,Field,Empathy,Helping others,Bachelor's Degree,Adaptable/Flexible,Social Worker
Business & Finance,Office/Corporate,Analytical Thinking,Making money,Bachelor's Degree,Detail-Oriented,Accountant
